id,car_make,car_model,car_model_year
1,Ford,Econoline E350,2002
2,Buick,Park Avenue,1996
3,Ford,Econoline E350,2002
4,Ford,Taurus,2013
5,Isuzu,Oasis,1998
6,Volkswagen,GTI,1989
7,Buick,Skylark,1998
8,Chevrolet,Camaro,1970
9,Hyundai,Sonata,2006
10,Pontiac,Tempest,1966
11,Honda,Civic Si,2006
12,Cadillac,SRX,2006
13,Dodge,D150 Club,1992
14,Toyota,Camry,2011
15,Honda,Civic GX,2003
16,Suzuki,Aerio,2004
17,Acura,TL,1998
18,Dodge,Aries,1981
19,Saturn,S-Series,1998
20,Chevrolet,Beretta,1995
21,Mercedes-Benz,S-Class,2002
22,Plymouth,Fury,1964
23,Dodge,Ram 2500 Club,1998
24,Toyota,Avalon,2011
25,Subaru,SVX,1993
26,Ford,F250,2000
27,GMC,Savana 3500,2005
28,Volkswagen,Tiguan,2009
29,GMC,2500,1998
30,Chevrolet,Beretta,1996

